State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.16506	3.17149	3.10073	3.10073	3.27442	3.14576	3.19722	3.33232	3.55104	3.62824	3.54461	3.49314	3.51244	3.43525	3.28729	3.24869	3.37735	3.29372	3.27442	3.24869	3.13933
2	5.38907	5.51249	5.56391	5.52277	5.27594	5.31708	4.92627	4.66916	4.12408	3.69213	3.44530	3.20876	2.85909	2.85909	2.98250	3.15734	3.06478	3.15734	3.03392	3.08535	3.11620
3	4.07238	3.93796	3.90809	3.97779	3.75874	3.74878	3.61934	3.54466	3.45505	3.22604	3.16630	3.28080	3.53471	3.69900	3.63428	3.61934	3.79856	3.78363	3.64921	3.66415	3.64423
4	4.54517	4.68485	4.43772	4.22282	4.13686	3.81450	3.69631	3.42768	3.15905	3.03011	2.86894	2.53584	2.44988	2.27796	2.37466	2.43913	2.56807	2.64329	2.38541	2.25647	2.26721
5	0.62530	0.60297	0.58845	0.58287	0.59180	0.58510	0.56947	0.57505	0.58622	0.59515	0.57617	0.56835	0.54602	0.52369	0.51252	0.49689	0.47567	0.49577	0.50917	0.51140	0.51922
6	3.56905	3.56802	3.57008	3.55562	3.53084	3.49728	3.46784	3.41982	3.36509	3.30881	3.23858	3.15028	3.05166	2.96336	2.87197	2.76973	2.66130	2.57558	2.50123	2.44081	2.38401
7	1.20379	1.19652	1.20743	1.19531	1.19167	1.20258	1.20016	1.19410	1.20501	1.17834	1.18076	1.18803	1.20379	1.20016	1.20864	1.21349	1.22440	1.23168	1.23168	1.23774	1.24137
8	0.71099	0.71268	0.71386	0.71537	0.71967	0.72291	0.72582	0.73163	0.73656	0.74642	0.75918	0.76487	0.77338	0.78079	0.78757	0.79465	0.80345	0.81006	0.81756	0.82257	0.82788
9	0.52702	0.55720	0.58970	0.65935	0.64542	0.61292	0.73829	0.75686	0.74525	0.67560	0.47594	0.53630	0.58970	0.59202	0.61524	0.63614	0.55488	0.57577	0.55952	0.59202	0.58274
10	2.41061	2.34866	2.33060	2.29705	2.28672	2.40803	2.45190	2.42867	2.52417	2.54224	2.53707	2.66612	2.56546	2.59644	2.65838	2.70225	2.66870	2.60676	2.67645	2.63773	2.62483
