State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	8.04590	8.73863	9.51653	10.05595	10.08434	9.60170	8.30709	6.43899	4.62767	3.76459	3.85544	2.74821	2.86177	3.61696	5.26362	6.84214	8.36955	9.10771	9.66984	9.34619	9.01686
2	6.00029	6.97159	7.83396	9.43162	11.51947	14.46061	17.56515	21.09633	23.78330	23.96485	23.38388	26.06177	27.60496	28.01346	26.30687	23.18418	19.19003	15.66793	12.22752	10.08521	8.24246
3	4.43378	5.11049	6.12117	8.16888	11.71502	17.52420	26.11053	37.46522	48.34094	52.31772	55.19155	61.02270	54.75652	44.27628	31.78787	20.64850	12.52796	8.16888	5.76084	4.27119	3.27370
4	7.68215	9.46516	11.96898	14.33052	16.62568	17.19473	15.41172	11.91207	8.19429	5.63357	5.33957	10.73604	22.03164	37.26316	51.64110	58.27999	55.48217	46.66193	36.59927	28.37652	22.09803
5	1.77403	1.66069	1.45569	1.23492	0.91165	0.67019	0.55389	0.48983	0.46519	0.44646	0.43956	0.44646	0.46223	0.49180	0.58346	0.93728	1.77600	2.88279	3.93538	4.68638	5.16340
6	1.06921	1.00176	0.92474	0.82310	0.73879	0.65675	0.58839	0.52868	0.49131	0.48766	0.48858	0.49632	0.51136	0.53142	0.57152	0.65310	0.84589	1.09702	1.33994	1.55186	1.73964
7	0.82177	0.80358	0.79502	0.79288	0.77148	0.74259	0.73724	0.71156	0.68909	0.67732	0.67090	0.66662	0.67839	0.68160	0.68588	0.71049	0.72440	0.72440	0.73403	0.73617	0.75329
8	0.80851	0.78929	0.76371	0.72619	0.67626	0.60923	0.53435	0.45895	0.39901	0.36131	0.34097	0.34242	0.35633	0.37540	0.39964	0.43459	0.47274	0.50973	0.53561	0.55981	0.57591
9	0.88526	0.88731	0.84223	0.87296	0.99182	1.18240	1.25822	1.39142	1.39961	1.50822	1.66601	1.51847	1.11477	0.82378	0.64550	0.54099	0.50206	0.45083	0.49591	0.48771	0.54304
10	3.63808	4.15065	4.99126	6.03234	7.24883	8.48127	9.32415	9.11457	8.37647	9.50640	9.29226	4.77484	4.33745	4.68600	5.76580	6.79321	6.83878	5.78175	4.78168	3.92284	3.41711
