State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.54046	6.13178	2.67817	1.09139	3.54498	3.85556	7.21555	0.70104
2	0.33806	67.29720	7.48353	1.36762	3.44566	23.38460	16.92377	0.66649
3	0.69837	61.58074	8.77584	1.45542	3.16663	55.18885	22.13635	0.34617
4	0.32357	7.82018	3.40413	2.09811	2.86924	5.33973	19.88822	0.26350
5	3.11373	0.07517	0.64658	2.26452	0.57623	0.43958	1.36085	0.31350
6	6.73336	0.69824	3.85094	2.23565	3.23737	0.48859	0.82048	0.30577
7	2.86799	0.44166	1.03238	0.60742	1.18088	0.67092	0.78199	0.93038
8	82.53978	0.16557	0.64821	0.85617	0.75926	0.34099	0.56577	1.09862
9	1.49755	0.11870	0.73198	0.64799	0.47599	1.66606	1.06715	1.25855
10	1.34710	6.20064	2.44146	1.31208	2.53734	9.29255	6.07467	0.59421
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
