State (Emission order)	H3k27me3	H3k4me1	H3k4me2	H3k4me3	H3k9a	H3k27ac	H3k79me2	H3k36me3	H3k09me3	H2az
1	0.6530767952302062	0.05116398103456717	0.01917078452264272	0.0029353546940425585	0.002767828365997268	0.0013829319671686765	0.002324199743988886	0.0012960898031882542	0.012605637105808339	0.0031244616088075723
2	0.7516314670317203	0.30098899847655813	0.9687048535162074	0.6336749188116771	0.06256524235083427	0.0020005251954694973	0.003288411341561129	8.271909185007874E-4	0.004971405601565292	0.15088251747705547
3	0.011353105920340015	0.1370171979225096	0.9336466556677605	0.926241648191711	0.575724404046322	0.2875225714620837	0.014637142970171834	6.236076226424962E-4	0.00214230900288182	0.2955208524400076
4	0.05538918231742568	0.19435260802805193	0.9021492663979515	0.6968369526415462	0.39812204502544013	0.23211386872123624	0.9218435539578109	0.09346112528872463	0.06086088301506016	0.10658765952212078
5	0.0018756012719130049	0.03453546738739645	0.017948827819007335	0.0018994538437114518	0.003744490462236495	0.016364183117168574	0.7090097156831542	0.02886243871939201	0.013763842039660985	7.805906116160907E-4
6	0.0016162842331180973	0.007165524712161162	8.474848573571192E-4	3.3360867193412476E-4	0.003278946741774699	0.012375742656509165	0.037732531759259065	0.15444790538602995	0.006364086981114488	1.2162286448328314E-4
7	0.011342209052004079	0.0018898899773692737	4.913978861112537E-4	9.927209420487074E-4	0.0024210486955182154	0.003426363293156417	0.0028939473255196646	0.015719097749979545	0.2893560369508669	0.0029224034658128163
8	0.00196799930353228	0.002863717565911791	1.613184556850327E-4	1.2035739245656148E-4	8.677813597568764E-4	0.0025000220416435625	8.634373899856452E-4	9.130935745858258E-4	0.006995439357577487	0.006357315576953952
9	0.006331826032919992	0.06539901622527323	0.02895259884673014	0.0031131366153341086	0.010583030802108416	0.03169384513462783	0.0013159755047863887	0.0031670194902923845	0.02337745527474265	0.5248271478055583
10	0.00992320217195982	0.30289325231236514	0.2739521491468337	0.03461345429607925	0.033072134889230914	0.07321992966173664	0.01303901524978194	0.0037904597827604957	0.006455065935580163	0.08604102658261395
