State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8563546088256423	0.07392076282613408	0.0	3.06249367548901E-5	1.4074284324001272E-4	2.698359722988696E-4	6.265301276794876E-4	0.061167674309850054	0.0	0.0074892201584001936
2	0.122597941017779	0.8183479232245399	0.02902853617381414	3.2728755282162084E-4	2.8681608008864753E-4	0.0	1.9634781629442415E-6	0.007848096650992665	5.561118269943011E-4	0.021005323994806823
3	0.0	0.015637415808618386	0.7718932676878214	0.04194548514805339	1.5651229543942495E-6	0.0018343803215028673	2.1758564332795597E-4	0.01132383175076297	0.009355599447738455	0.1477908690692202
4	0.0	2.861466181635013E-4	0.08924461323658417	0.7637050001686886	0.11049724995333886	0.005777427815731758	0.02331196491473163	0.0	0.0	0.007177597292761544
5	2.468765887124535E-5	3.072835197701994E-5	2.626072913687321E-5	0.011075176477353272	0.95875333753274	0.02621393086072114	2.9249818758857117E-4	3.615621993895514E-4	0.0	0.0032218180022222974
6	1.3869872513331993E-5	0.0	1.6098141272925313E-4	2.9289998164475946E-4	0.012014587232208265	0.9750373042890832	3.5364395272684355E-4	0.007127262007655647	0.0	0.00499945125143878
7	1.1892335587944358E-4	5.805280720928964E-6	1.7959988366611114E-5	0.0022796717479761676	3.1042950064749013E-4	6.207803635961105E-4	0.947417546972778	0.04846878945051745	1.437292253214021E-4	6.163641141963538E-4
8	4.288415792527538E-4	2.9810446443799465E-5	1.1330558536785902E-4	0.0	1.3767540315434828E-5	5.968279289164095E-4	0.00196959027943212	0.9773015366097212	0.01610517970847976	0.003441140322070708
9	0.0	4.23245608898819E-5	0.0027255899550680546	0.0	0.0	0.0	4.364929193494568E-5	0.47535814361975715	0.5199498441398916	0.0018804484324584174
10	0.002867362572059922	0.004064644314352655	0.06575790617173162	0.001549680049336388	0.006348769280137087	0.021216131433283898	0.0015786103472262337	0.1740568959702236	0.004030164718828448	0.71852983514282
